X1,X2,X3,X4,Y
3.817,-2.647,10.364,C,15.986
4.357,0.413,7.171,A,42.675
2.845,-0.039,7.756,C,28.208
2.623,-2.272,4.707,A,24.464
2.376,0.772,6.960,C,38.282
1.993,2.102,7.209,B,20.509
1.534,-2.458,7.855,A,31.088
2.342,0.866,5.207,B,19.571
1.622,-1.912,8.336,A,33.666
1.897,-0.433,11.585,C,33.515
3.401,-1.705,4.423,C,2.419
3.419,-0.113,5.153,C,17.051
1.769,-1.281,5.181,B,15.513
4.400,0.955,8.013,A,39.218
4.411,-1.552,4.502,A,31.482
4.827,0.400,2.726,B,20.563
4.691,-1.191,8.153,A,44.752
1.322,2.578,4.336,C,35.815
3.640,-0.976,7.828,C,15.811
1.956,1.916,3.551,C,28.624
4.742,1.177,5.772,A,44.561
4.716,-0.653,11.110,A,49.394
1.056,0.165,4.110,C,25.719
3.345,-1.708,8.418,A,36.373
4.497,-2.761,3.870,B,23.563
3.887,-0.041,7.552,B,26.081
3.121,2.854,11.276,C,56.981
2.512,2.715,10.697,A,45.392
4.304,-2.241,12.378,B,27.584
3.294,-1.600,9.535,A,43.613
2.374,2.719,11.049,A,45.577
1.709,-1.092,6.562,C,15.498
4.458,1.827,11.101,A,55.616
3.508,-1.614,5.659,C,11.041
2.383,0.011,9.913,A,47.544
1.097,-0.690,5.940,A,21.671
3.489,-1.025,8.246,C,22.333
3.301,0.049,7.874,A,40.339
3.709,-0.517,7.021,A,35.243
1.163,-2.555,5.406,B,10.752
3.543,-1.425,10.873,C,22.201
0.714,2.389,8.820,C,49.722
5.004,2.735,3.589,B,18.597
1.307,-0.830,8.918,B,20.328
3.744,0.795,4.398,B,25.336
1.226,0.742,7.728,A,33.709
4.451,-2.729,7.927,C,3.325
4.042,-3.017,4.311,C,-1.240
1.352,0.778,3.772,B,13.120
4.531,0.630,11.818,A,55.590
3.209,1.076,7.968,C,27.634
3.630,0.507,5.309,A,35.164
1.668,1.242,4.405,C,23.078
1.112,-1.575,11.618,B,21.250
2.141,-1.366,5.602,B,19.093
3.243,1.145,8.998,A,46.747
4.132,-0.068,11.937,C,29.812
3.338,-1.794,5.380,C,8.622
1.820,-3.075,6.760,C,5.684
1.489,0.350,4.084,C,25.702
5.420,0.274,3.166,C,7.372
2.508,0.084,4.370,A,21.385
3.183,-1.472,3.546,A,24.572
3.252,-0.639,7.898,C,23.055
3.592,1.986,8.029,B,21.085
1.823,2.619,5.735,B,18.930
4.722,-2.108,4.776,C,-5.148
1.813,1.791,10.039,B,20.002
3.420,-0.754,3.670,B,16.239
4.696,-1.639,12.031,C,16.507
1.343,-1.958,12.080,C,32.768
1.334,2.971,7.338,C,45.488
2.015,-2.796,7.035,C,6.915
3.453,1.493,7.070,B,25.872
2.723,0.315,3.208,C,14.201
2.850,-1.634,3.474,B,12.799
3.141,-1.736,2.897,B,17.984
4.534,2.176,10.497,B,30.064
1.494,-1.722,2.876,A,13.620
4.184,1.303,6.461,A,37.163
3.054,-0.739,5.207,A,28.705
1.307,0.487,9.903,B,21.338
2.702,-1.666,7.787,C,14.698
4.988,-2.602,7.663,A,44.297
4.529,1.456,4.409,B,20.992
4.169,1.639,11.567,A,55.058
2.053,0.323,11.472,A,42.669
1.532,0.323,6.046,A,28.767
3.287,1.576,6.868,C,31.574
4.418,0.680,7.260,B,26.075
2.391,2.691,7.688,C,42.836
2.379,-0.631,7.892,B,22.177
1.607,-1.957,8.043,A,32.510
1.665,-1.475,4.937,A,23.387
1.422,-1.917,8.051,C,18.397
1.567,-1.240,4.682,C,11.729
3.848,-0.523,5.495,C,13.442
4.848,2.049,8.537,C,40.354
3.306,-1.826,10.601,B,28.063
3.276,1.780,4.498,C,28.485
1.927,-2.578,6.106,B,18.349
1.863,1.542,3.057,B,14.231
3.540,-1.750,9.236,C,16.032
3.019,1.491,9.831,C,44.687
4.352,1.009,7.742,B,25.516
5.369,2.947,4.950,C,31.111
4.076,2.278,10.855,C,46.940
4.657,-2.410,7.089,A,33.980
2.221,-1.904,5.004,A,20.724
2.337,1.481,6.658,B,18.668
3.753,0.897,3.822,B,22.513
3.084,-0.546,4.328,C,5.390
4.585,1.830,10.365,C,44.791
2.769,0.614,7.648,C,29.058
2.541,-2.777,7.096,A,27.820
1.015,-1.828,6.988,B,16.733
2.214,-2.423,9.294,B,21.089
2.568,-1.300,7.595,A,32.533
3.765,-0.271,8.420,A,43.288
1.994,-0.106,5.893,A,25.990
2.470,-2.558,4.091,B,17.942
1.692,-1.379,5.181,B,17.137
2.735,2.032,8.689,A,43.674
3.858,-2.754,4.415,C,-0.679
2.680,0.016,6.788,C,23.859
3.673,0.147,4.019,C,13.107
3.127,2.526,7.200,A,40.661
4.437,-0.834,2.119,B,16.629
3.815,1.576,6.581,B,19.645
3.889,2.872,3.495,C,29.131
2.963,1.124,8.585,B,21.523
1.679,-2.910,4.614,B,17.918
2.002,2.644,8.454,C,53.117
2.962,0.869,3.017,C,23.908
2.941,1.051,8.099,C,32.238
3.005,-1.133,5.899,B,20.795
0.936,-2.877,6.251,B,11.808
3.271,-2.594,8.831,B,25.198
3.283,2.862,11.020,B,23.308
0.464,-2.218,4.253,A,16.842
4.202,1.695,3.323,A,30.194
1.685,0.104,5.235,A,24.624
5.188,2.112,6.329,B,27.778
1.355,-1.186,4.384,A,18.161
3.065,2.560,5.647,B,19.168
1.728,-1.580,5.159,C,12.720
4.616,1.095,3.001,A,31.210
2.897,2.129,5.696,B,17.851
4.142,-2.121,7.105,B,22.972
4.498,-1.844,6.348,A,38.593
3.734,-0.580,5.424,A,31.261
0.925,2.329,2.820,B,14.581
2.823,-2.773,10.156,A,43.673
3.786,-0.803,3.799,A,28.039
3.957,-0.374,7.462,C,20.429
2.487,0.517,9.678,C,36.467
1.875,-2.919,6.207,A,24.716
2.368,-1.493,6.788,A,33.193
4.744,-1.734,9.869,A,50.239
1.235,-0.890,5.004,B,14.747
3.704,0.350,5.512,A,33.317
4.999,-1.245,11.374,B,30.515
1.258,-0.977,8.498,A,32.851
1.247,-1.197,8.341,A,32.657
4.603,-1.411,8.991,C,14.385
3.421,0.561,5.072,B,20.229
1.635,-0.448,9.570,C,29.194
4.911,1.667,10.523,B,26.718
5.147,-0.463,6.231,A,38.694
4.765,-0.190,9.244,A,47.028
2.023,-1.742,4.433,A,19.757
1.699,-1.454,3.259,B,14.396
1.654,-2.477,4.590,A,21.859
4.448,-1.567,4.744,A,30.760
2.449,-2.124,5.614,C,9.681
1.876,2.033,4.195,C,29.604
4.312,-1.180,5.976,B,25.156
3.401,-2.568,7.665,A,34.564
4.668,-3.056,11.369,B,29.628
1.607,0.351,6.841,C,27.915
3.644,-1.335,9.129,A,37.858
4.517,-1.449,5.908,A,36.165
4.222,-2.020,5.067,A,30.129
1.896,1.368,9.846,B,22.766
4.658,1.725,12.687,A,59.792
1.016,2.145,4.868,A,24.088
4.400,-0.808,6.654,A,36.489
2.077,-1.141,5.965,C,12.623
2.583,-1.248,5.673,C,8.794
2.608,2.387,9.739,A,44.695
2.268,-1.612,10.334,A,41.403
1.270,-2.636,4.566,A,19.181
2.129,-0.820,9.648,C,29.180
3.585,0.527,7.968,B,21.446
1.716,1.908,7.381,C,40.120
2.045,-1.062,3.412,A,19.986
4.029,-2.334,8.804,A,38.405
2.465,-2.613,3.362,C,-3.979
4.860,-2.138,4.155,B,18.095
2.116,-2.409,11.658,A,44.308
1.768,-2.409,5.059,B,15.425
2.797,1.327,5.123,C,30.812
1.535,-0.025,10.500,C,38.676
1.864,-2.541,9.198,B,21.310
2.776,3.506,3.412,C,33.517
2.563,0.953,5.119,C,24.984
4.672,0.472,8.585,A,48.231
2.002,-0.082,4.178,C,17.761
4.343,-1.158,6.447,A,33.952
2.214,0.178,10.888,B,24.463
0.587,-3.040,8.976,C,21.179
3.326,0.440,8.129,A,38.067
2.246,-2.119,4.849,B,15.687
2.356,3.284,4.530,B,18.122
4.470,-1.557,10.619,C,20.013
1.918,-2.886,10.501,C,14.741
3.484,-2.905,10.868,A,43.326
3.885,-1.936,8.447,A,38.184
5.457,-0.228,3.847,B,21.369
4.492,-0.261,7.075,B,20.899
2.182,0.914,8.684,B,19.468
1.775,-2.463,8.512,A,32.276
4.819,2.779,9.932,A,50.576
4.521,-2.932,12.330,C,13.745
5.229,-0.390,10.263,B,27.003
4.160,-0.278,10.362,C,30.368
3.927,-0.116,8.224,C,26.252
1.577,1.894,10.590,A,40.182
2.467,-1.338,6.769,C,20.607
2.870,-1.080,3.543,C,8.955
3.584,-2.897,10.020,C,11.611
3.459,-1.409,3.980,C,5.881
4.023,0.553,11.011,A,49.398
2.843,1.806,5.818,B,18.800
2.217,3.102,4.508,B,17.731
2.472,0.476,7.381,A,36.075
3.369,-0.983,3.652,B,18.479
2.062,0.020,5.978,C,29.005
2.982,-1.336,11.130,B,24.152
1.241,0.050,6.718,C,25.069
3.407,-1.522,5.120,A,28.529
1.474,0.261,3.830,A,17.821
0.858,0.928,6.592,B,14.117
3.668,-1.842,6.855,B,19.620
1.663,-0.785,3.843,B,14.104
2.689,0.301,10.331,C,41.304
4.306,-2.029,4.817,B,21.128
1.817,-2.972,5.510,B,21.896
3.927,-0.165,7.258,C,26.170
2.962,-2.176,6.906,C,16.124
4.584,0.384,8.326,C,25.710
2.575,-1.096,11.080,B,20.635
1.901,2.409,7.671,B,23.278
1.698,-2.519,11.868,C,25.791
4.576,-0.742,4.482,A,33.711
2.648,0.663,4.479,A,23.396
4.323,2.715,11.922,A,57.186
3.972,1.877,10.028,C,44.854
0.840,-1.557,10.478,B,20.594
1.492,-2.416,8.445,C,13.644
0.991,1.445,4.305,B,19.100
1.974,2.126,7.293,A,36.882
1.974,-0.859,10.949,B,23.324
4.882,1.621,7.593,C,27.226
1.241,-1.600,3.912,C,10.591
1.335,1.441,7.883,C,38.947
1.445,-2.807,9.870,A,32.900
1.164,-0.551,7.409,C,24.215
2.268,-1.836,5.682,C,11.129
2.115,0.869,5.718,B,15.825
2.294,1.835,3.461,C,27.155
2.794,-2.293,11.853,A,47.062
4.077,-0.471,9.859,A,46.370
3.450,-1.595,4.503,C,7.476
1.332,2.977,6.746,B,14.526
1.596,1.646,12.019,C,53.596
3.614,-1.685,4.527,C,-4.014
2.784,-0.992,5.714,B,19.326
1.008,-1.100,9.212,C,26.325
0.994,-0.475,10.567,B,21.452
0.855,-1.131,11.487,C,40.298
4.697,-2.081,9.091,A,45.382
2.891,-1.328,8.373,B,26.278
1.990,2.658,4.262,C,37.031
3.952,1.545,10.925,B,26.602
3.196,0.577,6.297,C,33.228
3.745,1.378,3.286,A,32.529
1.929,-2.785,11.452,B,21.684
4.561,1.167,10.080,B,26.343
3.516,-2.875,5.237,B,23.754
3.923,1.026,8.374,B,25.100
1.739,-2.564,11.792,C,21.800
2.718,-1.933,9.753,C,16.389
0.995,0.762,9.543,C,37.268
2.921,-0.595,7.572,A,33.914
4.362,1.978,6.840,A,38.489
2.939,-2.221,6.176,B,18.679
2.065,2.086,11.562,A,50.748
3.709,-0.775,10.868,B,24.513
2.533,1.975,4.209,C,28.469
3.070,-0.098,4.072,A,26.094
5.049,-0.014,5.100,A,32.770
3.757,-3.233,9.833,C,13.723
0.976,-1.660,10.785,C,31.919
1.548,0.530,4.694,B,17.623
1.630,-1.575,6.247,A,30.804
1.771,-0.575,6.502,B,20.745
2.918,-2.829,6.216,A,28.896
1.365,-0.548,4.164,C,17.040
2.676,-0.312,9.777,A,41.364
4.076,-2.654,3.903,C,-6.293
1.665,-1.441,3.291,C,3.758
1.177,2.284,9.656,B,22.264
4.425,-0.265,3.670,B,20.214
2.860,2.588,3.819,A,26.974
2.413,1.130,7.402,B,21.393
4.510,1.168,5.968,C,23.813
2.894,0.453,8.732,A,37.417
4.205,1.628,10.424,C,39.105
2.808,-2.544,5.408,A,30.805
2.732,0.107,10.388,B,26.225
1.945,-3.024,3.365,A,24.123
3.522,-0.791,8.357,A,39.138
4.153,1.693,3.138,A,33.501
3.339,0.612,8.712,A,42.615
2.819,0.568,9.354,C,39.453
3.408,1.863,2.694,B,15.638
4.415,0.970,5.714,C,23.090
5.419,-2.640,8.068,A,42.696
2.877,-0.727,3.330,C,10.113
3.259,2.215,4.813,C,36.126
3.836,1.991,4.943,C,29.874
1.794,2.565,9.606,A,42.318
4.019,0.171,3.800,A,29.329
1.999,2.781,7.357,B,19.115
3.550,-1.440,9.792,A,44.480
2.793,-2.223,4.516,B,21.638
3.370,-0.500,4.150,B,20.894
1.486,-2.363,10.161,C,17.836
4.930,0.289,7.336,A,40.463
1.690,2.807,3.032,B,14.364
2.432,-2.243,5.021,C,0.861
1.229,2.837,3.469,B,11.347
4.165,-1.503,11.161,C,25.618
1.835,-1.171,11.147,A,40.463
4.897,-0.995,7.160,A,42.545
2.700,0.039,9.853,C,35.373
0.542,-2.278,11.655,B,26.227
1.332,-2.932,3.741,B,13.966
1.826,1.566,11.186,C,45.940
4.809,0.220,4.463,A,30.867
3.481,-0.721,10.935,C,29.464
3.244,2.562,5.261,C,29.330
2.559,1.437,6.305,A,33.845
2.736,-1.553,6.317,A,27.593
3.121,-1.320,7.921,A,38.002
4.029,-1.781,4.690,C,-0.387
1.040,-2.657,8.233,C,15.380
0.931,-2.598,2.984,C,7.198
2.115,2.159,7.585,A,38.299
1.339,-2.437,4.814,C,5.891
2.910,2.125,10.289,A,45.294
2.676,0.388,8.020,C,30.761
2.774,-2.936,9.992,B,24.735
2.474,-1.027,8.943,B,19.649
4.127,-2.412,4.731,B,22.317
1.083,-0.204,6.642,A,27.854
3.440,-1.118,8.836,C,17.989
4.583,-1.581,11.208,C,22.803
1.705,2.812,8.903,A,39.781
4.936,2.016,6.017,A,40.511
3.362,1.855,10.927,C,51.380
3.167,0.775,3.006,B,20.996
2.799,2.194,7.060,C,37.997
1.684,-1.636,4.062,C,9.964
1.293,0.258,5.285,B,11.623
1.421,3.053,5.198,A,28.846
1.965,0.177,3.257,C,18.928
4.083,-0.713,4.153,C,4.899
4.021,2.696,11.650,B,26.354
3.559,1.065,10.473,C,43.647
2.392,-0.843,10.180,A,42.530
3.028,-2.311,7.355,C,8.142
2.051,-0.593,8.637,B,21.068
3.734,-0.817,3.866,A,27.450
2.356,-0.155,9.904,B,23.791
4.425,0.598,11.231,C,30.919
2.959,-0.524,11.379,A,51.662
4.518,-2.923,10.783,C,15.040
3.901,-1.967,4.189,B,17.559
2.284,2.910,6.649,A,27.818
1.947,2.542,4.583,A,30.307
4.488,-2.604,4.697,A,31.315
3.671,-2.813,6.832,C,3.658
3.377,2.888,8.887,A,43.092
4.262,-0.010,9.069,A,45.494
2.319,-0.228,3.234,B,15.027
4.222,1.003,9.590,C,36.426
4.194,-1.658,8.629,B,23.872
2.930,-0.918,11.724,B,26.009
2.440,2.133,11.191,B,23.267
4.258,0.495,6.009,A,37.348
1.841,-2.039,5.527,B,13.011
4.850,1.361,3.792,A,33.379
4.236,-0.079,7.920,A,38.835
3.981,-0.129,8.627,B,23.886
1.152,-0.565,7.024,B,20.136
2.695,0.404,4.266,A,27.697
0.805,0.543,8.950,A,34.423
3.992,-1.968,4.672,C,4.641
1.110,1.569,4.430,B,14.562
1.668,0.119,6.682,C,31.623
3.191,-0.901,5.326,C,13.594
3.856,-3.197,8.202,C,6.908
3.386,2.681,4.585,A,31.669
3.787,0.824,9.878,C,37.428
4.031,2.965,9.667,B,28.897
4.757,2.463,7.075,A,45.483
1.223,0.081,4.991,B,14.595
1.005,-0.906,4.511,C,9.366
2.576,-0.280,6.649,A,25.288
4.435,-2.733,7.707,C,0.098
4.270,2.259,6.908,C,35.434
0.936,1.100,9.644,C,42.841
4.728,2.251,5.443,A,36.040
2.214,2.120,8.152,C,45.871
0.584,-0.298,10.099,B,18.110
3.470,-2.719,10.646,B,23.187
4.594,-1.497,7.247,C,8.252
1.710,0.618,4.363,B,12.379
3.703,2.464,5.779,A,37.385
2.822,0.381,12.273,C,44.502
4.565,0.893,7.312,B,25.845
1.789,-2.673,4.665,C,4.832
3.698,3.169,4.519,B,18.199
3.331,1.851,10.147,B,25.244
5.072,-0.312,5.266,B,23.923
4.772,0.550,5.647,C,22.722
3.543,2.901,5.948,C,34.497
3.953,2.629,3.548,B,21.520
2.286,3.108,5.169,C,40.004
4.519,-1.531,11.445,B,32.502
3.691,-1.303,4.728,B,17.123
4.067,2.030,5.035,A,38.366
4.123,-0.968,10.312,B,24.815
4.358,2.502,10.335,C,49.984
2.035,2.076,5.768,C,40.320
2.843,-2.444,6.968,A,31.859
1.558,-0.327,8.971,C,32.268
2.864,-2.375,4.561,B,15.973
5.063,2.537,3.934,C,27.082
1.460,-1.643,10.871,B,25.491
2.546,-1.242,3.826,B,17.874
3.631,0.174,3.221,B,19.052
1.267,-1.077,11.435,B,25.952
2.212,-1.139,6.090,B,21.065
1.052,1.681,3.259,A,19.738
3.652,-1.181,9.074,A,38.781
2.709,2.899,11.506,C,54.401
3.459,-1.816,5.536,C,2.431
2.825,-2.945,7.103,B,19.200
1.022,-0.731,6.230,A,25.165
4.054,0.123,5.113,C,17.092
2.820,-1.446,9.045,B,23.465
3.786,2.407,11.384,B,23.642
0.985,-2.340,3.550,B,13.223
1.988,-0.443,2.867,C,14.000
4.450,-1.409,9.038,B,26.116
4.287,-1.940,10.770,B,30.668
3.036,1.907,8.890,B,25.122
5.059,-1.255,7.181,A,42.541
1.795,-2.381,4.653,B,15.237
5.335,-0.906,11.922,C,24.812
4.230,-2.571,5.624,A,35.778
1.804,-0.383,5.700,B,18.518
1.007,0.473,9.613,A,29.688
1.514,-1.099,9.997,A,36.400
1.509,1.390,6.830,B,17.710
2.746,1.040,4.268,B,19.498
4.257,1.086,6.626,A,39.031
1.503,2.367,11.163,A,42.274
3.681,-1.912,11.710,A,48.864
2.062,-2.278,7.651,A,31.045
3.670,-3.348,4.000,B,20.638
1.068,1.781,3.952,A,19.292
5.179,1.861,6.265,B,24.755
4.386,-1.652,6.491,C,4.560
1.438,-3.019,7.955,A,32.212
1.002,0.810,8.271,B,22.336
1.271,-0.024,6.018,B,17.353
1.525,-2.349,7.693,A,30.856
4.132,3.088,5.104,A,38.321
3.416,0.754,10.308,A,46.512
4.418,-0.060,10.533,C,32.263
3.620,1.389,6.448,C,32.398
4.839,2.090,6.772,C,24.809
3.058,1.035,3.798,C,21.665
1.664,1.223,6.184,A,26.600
1.940,1.842,4.994,B,15.046
3.530,1.516,9.875,B,24.245
4.394,1.994,7.644,C,37.643
4.093,2.154,11.868,B,26.660
3.160,1.066,3.940,C,26.347
4.854,2.652,9.926,B,30.580
2.846,-1.285,5.128,B,20.853
3.915,1.617,4.810,A,31.098
2.361,2.121,2.767,B,14.438
3.517,-0.880,5.093,B,20.618
1.154,-2.468,4.950,C,4.771
0.890,-0.586,6.242,A,27.555
1.303,-0.339,9.456,C,35.016
1.746,-0.910,9.515,B,23.796
3.052,1.182,4.951,A,30.842
3.596,-0.553,5.388,B,19.434
4.155,-1.562,4.310,B,20.966
1.755,1.561,10.848,A,44.539
1.847,0.665,11.837,A,46.255
2.045,-1.197,4.706,C,13.227
3.325,-1.290,4.355,B,15.781
3.376,1.627,9.588,A,48.558
4.816,0.807,4.605,C,14.629
2.826,1.487,3.253,A,28.346
2.790,2.025,10.505,B,23.276
3.795,-1.269,11.140,B,30.477
2.661,1.883,10.079,B,20.277
1.018,0.953,5.629,C,27.638
3.778,0.970,11.494,C,41.347
2.682,-0.430,4.014,A,25.621
2.807,-2.295,6.660,C,4.640
2.928,0.291,10.652,C,35.292
3.590,-0.783,10.897,C,23.565
4.477,-1.946,7.417,A,43.091
2.831,2.800,4.026,A,25.115
2.873,1.788,9.354,A,42.085
4.719,-0.823,10.937,A,49.657
4.232,0.588,9.471,C,34.746
3.625,-1.429,3.240,C,3.096
3.673,0.727,11.143,C,39.478
1.642,-2.229,3.363,A,14.898
2.154,1.457,8.941,A,43.412
2.586,-2.022,8.650,A,38.608
3.481,-2.147,6.088,C,1.941
2.462,2.911,9.285,B,20.743
1.690,1.156,3.894,C,26.307
2.171,0.746,12.119,B,24.752
3.097,2.783,7.462,A,40.220
1.138,-0.978,11.547,B,22.676
3.571,2.593,11.170,A,53.805
4.113,-1.401,8.060,A,42.933
4.825,2.167,10.255,C,45.318
3.406,0.803,3.932,B,20.308
3.297,-0.896,11.537,A,52.471
1.140,3.115,8.829,A,40.675
4.067,1.674,4.238,A,34.986
1.793,-1.991,9.761,C,19.736
2.737,1.263,10.840,A,43.838
2.581,1.636,6.177,A,33.641
3.570,-0.909,4.581,B,17.389
0.804,-1.746,7.398,A,26.650
4.442,-0.406,10.385,A,47.602
3.650,0.211,7.393,B,24.758
4.810,-2.223,4.022,C,-1.848
2.870,-0.011,7.105,B,20.151
2.253,-1.324,4.744,B,18.209
1.233,2.325,9.085,A,41.713
2.863,1.821,10.907,B,23.817
3.110,-2.116,9.003,B,20.949
2.326,-2.305,6.533,B,18.987
0.830,-1.377,4.251,C,10.378
4.402,-0.048,6.388,C,27.490
4.623,-0.308,6.324,A,38.392
4.686,0.835,8.032,C,25.924
4.690,2.370,11.805,C,49.762
2.543,-1.539,4.540,B,20.074
4.476,-1.875,7.926,C,3.560
3.568,-1.819,8.294,C,10.344
2.502,-0.377,5.682,C,14.799
2.218,0.420,6.959,B,21.135
4.230,-0.158,11.259,A,52.799
2.872,-0.859,3.260,B,18.234
1.165,-0.266,9.635,B,21.580
2.958,1.721,3.694,B,16.466
0.909,1.667,2.934,B,11.464
4.354,0.130,5.609,A,36.688
2.087,-0.745,7.665,C,25.032
2.023,-1.669,9.509,A,38.230
1.421,-0.975,9.431,C,27.960
2.803,-2.417,4.639,A,23.984
1.762,-0.779,11.657,C,36.219
3.402,2.378,5.073,C,31.289
2.386,-0.530,11.074,B,26.355
2.017,-0.698,5.410,B,16.329
1.251,1.796,11.259,A,42.272
1.840,0.877,8.207,C,32.901
4.645,0.367,7.592,B,24.957
4.243,-1.459,8.254,C,11.863
3.236,-0.192,3.144,A,24.998
4.242,2.420,2.726,C,28.371
2.597,1.940,9.280,A,43.640
4.463,0.157,12.201,B,25.902
1.809,-0.121,7.743,C,27.094
2.647,-2.194,4.232,C,0.314
4.243,1.083,6.156,B,21.022
3.414,1.101,4.223,C,23.352
0.897,-1.875,5.138,A,19.053
2.626,-0.613,11.266,C,35.414
5.585,0.106,9.607,B,28.235
1.194,-1.310,8.999,C,24.478
3.382,-3.424,8.812,A,45.356
3.644,-0.372,7.190,C,16.448
2.010,2.107,9.402,A,41.216
2.079,2.223,10.601,C,52.246
3.164,0.536,7.930,A,37.747
4.231,-2.129,11.083,A,50.998
2.107,-0.873,5.635,A,25.011
4.617,2.056,5.656,C,28.939
1.301,1.508,3.124,A,20.194
1.424,1.758,11.152,B,21.928
3.853,-2.757,9.203,B,20.773
4.203,2.615,5.089,C,35.444
2.687,-1.603,11.288,B,23.528
2.528,1.316,5.126,A,24.566
2.348,1.281,6.731,C,31.854
4.221,0.012,11.884,B,26.314
4.547,-2.794,6.281,B,22.195
2.456,2.048,5.554,B,22.144
4.093,2.748,10.081,A,49.001
2.764,-0.113,7.154,B,17.558
4.099,0.786,8.657,A,48.252
2.668,-0.958,9.814,B,22.792
4.727,-0.925,10.456,A,46.762
4.320,-1.368,6.473,C,10.907
4.441,1.080,11.025,C,39.129
4.232,1.844,8.932,B,25.529
2.063,2.360,8.518,C,45.326
